2007-11-22 14:03:06 点数购买 @商店界面 dafewf,1,192.168.1.62,wu_1010 日月星辰 /item/mop/9988;0;35099;35099;0;[#5#]0,0 1 #5# 1_138_145
2007-11-22 14:03:11 获得 @战国征集兵 dafewf,1,192.168.1.62,wu_1010 战国金色礼包 /item/mop/8001;1;[#6#]0,0 1 #6# 1_138_145
2007-11-22 14:04:03 点数购买 @商店界面 dafewf,1,192.168.1.62,wu_1010 水瓶 /item/08/shuiping;0;0;0;bind:4,ADD:,=:2,+:0,$:50,;[#7#]0,0 1 #7# 1_139_143
2007-11-22 14:04:10 点数购买 @商店界面 dafewf,1,192.168.1.62,wu_1010 水瓶 /item/08/shuiping;0;0;0;bind:4,ADD:,=:2,+:0,$:50,;[#8#]0,0 1 #8# 1_139_143
2007-11-22 14:04:10 点数购买 @商店界面 dafewf,1,192.168.1.62,wu_1010 水瓶 /item/08/shuiping;0;0;0;bind:4,ADD:,=:2,+:0,$:50,;[#9#]0,0 1 #9# 1_139_143
2007-11-22 14:04:10 点数购买 @商店界面 dafewf,1,192.168.1.62,wu_1010 水瓶 /item/08/shuiping;0;0;0;bind:4,ADD:,=:2,+:0,$:50,;[#10#]0,0 1 #10# 1_139_143
2007-11-22 14:04:10 点数购买 @商店界面 dafewf,1,192.168.1.62,wu_1010 水瓶 /item/08/shuiping;0;0;0;bind:4,ADD:,=:2,+:0,$:50,;[#11#]0,0 1 #11# 1_139_143
2007-11-22 14:05:02 获得 @/cmd/debug/clone dafewf,1,192.168.1.62,wu_1010 英明的双子 /item/08/0843;0;0;0;bind:4,ADD:,=:1,+:0,$:50,;[#12#]0,0 1 #12# 1_139_142
2007-11-22 14:05:04 获得 @/cmd/debug/clone dafewf,1,192.168.1.62,wu_1010 英明的双子 /item/08/0843;0;0;0;bind:4,ADD:,=:1,+:0,$:50,;[#13#]0,0 1 #13# 1_139_142
2007-11-22 14:05:04 获得 @/cmd/debug/clone dafewf,1,192.168.1.62,wu_1010 英明的双子 /item/08/0843;0;0;0;bind:4,ADD:,=:1,+:0,$:50,;[#14#]0,0 1 #14# 1_139_142
2007-11-22 14:05:04 获得 @/cmd/debug/clone dafewf,1,192.168.1.62,wu_1010 英明的双子 /item/08/0843;0;0;0;bind:4,ADD:,=:1,+:0,$:50,;[#15#]0,0 1 #15# 1_139_142
2007-11-22 14:05:05 获得 @/cmd/debug/clone dafewf,1,192.168.1.62,wu_1010 英明的双子 /item/08/0843;0;0;0;bind:4,ADD:,=:1,+:0,$:50,;[#16#]0,0 1 #16# 1_139_142
2007-11-22 14:09:50 获得 @战国征集兵 dafewf,1,192.168.1.62,wu_1010 战国蓝色礼包 /item/mop/8003;1;[#17#]0,0 1 #17# 1_139_142
2007-11-22 14:20:53 使用 23132132123,2,192.168.1.15,test1 @ 战国令 /item/08/0013;1;[-]0,0 1 0 1_102_148
2007-11-22 14:21:00 获得 @武器店老板 23132132123,2,192.168.1.15,test1 金 0 38250 0 1_102_148
2007-11-22 14:21:04 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:04 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:04 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:04 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:04 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:06 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:06 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:07 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:07 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:08 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:08 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:08 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:08 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:09 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:09 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:10 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:21:10 扣减 23132132123,2,192.168.1.15,test1 @武器店老板 金 0 450 0 1_102_148
2007-11-22 14:22:07 点数购买 @商店界面 23132132123,2,192.168.1.15,test1 虎 /item/08/0802;0;[#18#]0,0 1 #18# 1_141_147
2007-11-22 14:25:32 获得 @/cmd/debug/clone dafewf,1,192.168.1.62,wu_1010 英明的双子 /item/08/0843;0;0;0;bind:4,ADD:,=:1,+:0,$:50,;[#19#]0,0 1 #19# 1_141_142
2007-11-22 14:25:47 获得 @/cmd/debug/clone 23132132123,2,192.168.1.15,test1 英明的双子 /item/08/0843;0;0;0;bind:4,ADD:,=:1,+:0,$:50,;[#20#]0,0 1 #20# 1_141_147
2007-11-22 14:37:51 获得 @战国征集兵 23132132123,2,192.168.1.15,test1 战国蓝色礼包 /item/mop/8003;1;[#21#]0,0 1 #21# 1_141_147
2007-11-22 14:37:52 获得 @/item/mop/8003 23132132123,2,192.168.1.15,test1 友情呼唤 /item/sell/0012;1;[#22#]0,0 1 #22# 1_141_147
